group,normalization,min,max,mean,std
rgb_com,minmax,0.0,639.0,246.80433055269015,83.02209787574026
dominant_color,minmax,-9.864109529189591e-12,255.0,92.01039723205007,66.3278243431412
chroma_cqt,std,-9.56635856628418,10.845126152038574,0.23013858972782336,0.24359943188758504
chroma_s,std,-196.24269104003906,184.55117797851562,0.718942914622776,3.588736693473341
chroma_t,std,-292.7381591796875,414.39434814453125,0.558567196861317,5.42454764568055
lpc,log_minmax,-3.565725524361728e+28,3.565638396700119e+28,-1.0347820332690798e+18,3.990922672724683e+25
magnitude_bins,log_minmax,-1627.4693603515625,2824.2890625,0.20725819209942026,7.047747773484098
mel_bands,log_minmax,-7217.919921875,11266.74609375,-51.19275473987019,90.65985184283537
octave_band,log_minmax,0.0,0.0,0.0,0.0
sub_ons,minmax,-3274.232177734375,6699.24951171875,1.5969259450289959,41.899291454128566
tempogram,log_minmax,-0.9429470300674438,2.4666388034820557,0.21898555515770607,0.2613338965588471
beat_histogram,minmax,0.0,0.0,0.0,0.0
F0,std,-143713.3125,127778.7578125,32.03115238355643,1932.5253162359988
F0_sma,std,-49606.5546875,49780.3671875,24.641413630241527,907.1090880251996
F0env,std,-5029.66943359375,7358.5947265625,237.13847213433993,163.63026741192937
F0env_sma,std,-2502.897216796875,6499.8037109375,237.347225396481,157.83248852461398
pcm_intensity,std,-0.07827641069889069,0.1378282606601715,7.562458876378884e-06,0.0008958676876596232
pcm_intensity_sma,std,-0.025088096037507057,0.040448252111673355,5.103475069646425e-06,0.00027433047830286583
pcm_loudness,std,-1065.903076171875,855.2902221679688,0.8071687253226465,20.489889205083777
pcm_loudness_sma,std,-394.7244567871094,406.9189453125,0.8217239367958453,7.128756128569181
pcm_zcr,std,-90.10861206054688,114.918701171875,0.1584883889321452,1.6242024355374831
pcm_zcr_sma,std,-58.86051940917969,102.70291137695312,0.15228359604118913,1.1642066025749713
voiceProb,std,-172.3070068359375,151.95960998535156,0.2885233006097284,4.28432438981061
voiceProb_sma,std,-87.61491394042969,47.42195129394531,0.3021704984171058,1.7006255496121663
mfcc,std,-15102.16796875,15558.3837890625,-3.944007388889383,309.11339258461237
mfcc_sma,std,-7136.99853515625,10084.38671875,-3.9108125574530663,135.53092613158813
lspFreq,std,-151.1587371826172,148.112060546875,1.4161308317283403,2.479995140533005
lspFreq_sma,std,-68.72454833984375,104.71211242675781,1.4280410249676085,1.4457545425427396
tonal_centroid,std,-109.29704284667969,84.9946517944336,-7.840139092362252e-05,0.7633994545916626
spec_contr,std,-11794.880859375,7866.13818359375,15.501460292286898,164.24870903041602
colorfulness,minmax,0.0,202.03265380859375,106.3573601270715,48.77997927790209
color_activity,minmax,-0.49287351965904236,6.365213394165039,2.9414492844875175,0.36542655064527785
color_energy,minmax,0.0,6.656785011291504,0.06532338876336286,0.029817691415897657
color_weight,minmax,-1.98427414894104,8.082275390625,2.2698357137173284,1.2076201907119781
lighting_key,minmax,0.0,21004.294921875,5055.655638747924,3395.347985575717
mean_brightness,minmax,0.0,255.0,90.80509012785328,44.15557503675725
mean_saturation,minmax,0.0,255.0,87.87529172614587,44.84968778367536
ac_global,minmax,-5.466856479644775,5.5979743003845215,0.41771558096354366,0.1538331869839272
oenv,minmax,-1507.54931640625,4428.09521484375,1.5969259215051377,30.840810319073373
rms_energy,minmax,-22.622285842895508,14.767949104309082,0.02934952978082719,0.294215692896901
spec_bw_time,minmax,-217220.265625,489726.75,2014.967307363378,6664.319351012751
spectral_flatness,minmax,-0.26029470562934875,1.0000007152557373,0.0017764170298318674,0.039775945974562986
spectral_rolloff,log_minmax,-1134585.75,1956261.375,3721.7287674726285,19287.86602990681
onset_frame,minmax,0.0,1321.2763671875,718.9500861654271,153.78892841518953
fast_motion,minmax,0.0,0.9884809255599976,0.19853558045657005,0.15814824191915844
mean_mag,minmax,0.0,134.738525390625,6.777225703270711,4.9142116776268825
motion_continuity,minmax,0.0,1.0,0.9548329932716011,0.07710408470906426
spectral_decrease,log_minmax,-880.563232421875,2002.1236572265625,0.10618440005573797,17.119766641465922
spectral_flux,log_minmax,-704.3283081054688,7519888384.0,5052.820449058533,5136094.786581153
spectral_slope,log_minmax,-0.0449846051633358,0.033442262560129166,-4.769536709470838e-05,0.0004935891870055402
spectral_variation,log_minmax,-84.6689682006836,110.0013427734375,0.09219738420580677,1.7213671239523252
cent_time,minmax,-776598.3125,532692.0625,1830.1630468040416,8625.508219675432
centroid,zscore,-822834.8125,2066228.0,3132.7849180982334,26809.14603523105
spread,zscore,-659659.5625,2476934.5,4186.621832858293,28441.341516540015
skewness,log_minmax,-2786.97509765625,1617.1414794921875,0.5823064734363643,27.274969076782806
kurtosis,log_minmax,-149433.390625,133545.984375,0.5720916003653812,927.5663364496564
