feature,mean_rel_importance
lspFreq[6]|median,0.010514208628162484
chroma_cqt_1|max,0.009998101227453343
mean_brightness|median,0.009981253454168183
fast_motion|skewness,0.009915905990101148
lspFreq_sma[5]|slope,0.009817582760478739
tonal_centroid_3|median,0.009709679508057076
magnitude_bin_1|slope,0.009651688896713037
mfcc_sma[7]|median,0.009628362794349
chroma_cqt_7|mean,0.009544731095328402
color_activity|max,0.009507202271839838
mfcc[9]|median,0.009434718860042372
F0|slope,0.009338720778016878
spread|kurtosis,0.009325571051159045
chroma_cqt_5|max,0.009242408540809969
mfcc_sma[3]|skewness,0.009129311362939213
mfcc_sma[8]|min,0.009052587815084945
F0env|skewness,0.00898530731446674
motion_continuity|median,0.008943371969523153
mfcc[8]|max,0.008923840355366157
onset_frame|energy,0.008808446948126894
